,subj,channel,dir,type,Unnamed: 4,Unnamed: 5,Unnamed: 6,nat_x,nat_y,nat_z,leadDBS_x,leadDBS_y,leadDBS_z,mni_linear_x,mni_linear_y,mni_linear_z,mni_nonlinear_x,mni_nonlinear_y,mni_nonlinear_z,fs_anatomy
173,DBS3024,28,+,Sus,,,,-77.34247578,40.71456162,-28.40848838,-64.1708559683441,-44.0292141181957,28.7491668529709,-66.7488840652396,-36.9008746891406,22.0828509429179,-70.509624614256,-38.3249860184895,22.5535239092878,supramarginal
174,DBS3024,29,+,Sus,,,,-77.37158673,42.34132325,-26.42196756,-64.1489476489076,-42.2574751884066,30.6076412291066,-66.7644915178071,-34.6151226076829,23.6380034258574,-70.4433256004285,-35.9550921665178,24.2214589727022,supramarginal
175,DBS3024,30,+,Sus,,,,-75.83321461,57.44229999,-9.368255212,-62.1404128875949,-25.9675767058186,46.4771146819191,-64.9944234868757,-13.8262550880014,36.514111803397,-67.2447321313971,-14.3868880879709,37.9408635386963,postcentral
176,DBS3024,39,+,Onset,,,,-75.18264452,59.13114653,-7.581084043,-61.4376951711977,-24.168702281026,48.1323075648985,-64.2868186824336,-11.538651534155,37.8124602491466,-66.2765496983535,-12.0629949470353,39.2537626671998,postcentral
177,DBS3024,40,+,Sus,,,,-74.37979889,60.77118683,-5.92668581,-60.5844378149803,-22.4328877308916,49.6588155197387,-63.417921994661,-9.34231405456954,38.9806857005413,-65.1631247925527,-9.84534666528469,40.428643982885,precentral
178,DBS3024,41,+,Sus,,,,-75.9774151,32.23304919,-43.94709077,-63.0823120930448,-53.6916119996883,13.8931664690817,-65.4342980100346,-50.4193644064706,8.25975214375111,-69.109680675676,-52.2029545362038,7.67594655066421,superiortemporal
179,DBS3024,43,+,Onset,,,,-78.29598058,41.51074243,-32.25132145,-65.1082897848711,-43.4969808593864,24.857073985686,-67.8179509257645,-37.2689622934256,17.575516927721,-71.5361870980411,-38.5876137105946,17.8556488536627,superiortemporal
180,DBS3024,49,+,Sus,,,,-77.39069235,54.6010362,-17.1012835,-63.7945512587707,-29.3360168185155,38.9794029780625,-66.7365306917878,-19.1345049565549,29.1490170887197,-69.3276351183195,-19.8620871401258,30.257884194208,supramarginal
181,DBS3024,57,+,Sus,,,,-76.96414083,57.86201395,-13.32002509,-63.2663200499859,-25.8136227095514,42.5046758440412,-66.25233065183,-14.6148546698936,32.0358847559577,-68.4343741120653,-15.2153549390758,33.2685488615531,postcentral
182,DBS3024,59,+,Sus,,,,-76.27655708,61.14647721,-9.518708475,-62.4764471228208,-22.2738964782642,46.0482499287046,-65.4892098017011,-10.0650170750121,34.9303677043891,-67.1951096311217,-10.6269023723454,36.2117940864397,postcentral
